word_id,word,sentence_id,sentence,,,,,,,,,,,,,,,,,,,
j3cflScQLfo_w,qualitative,j3cflScQLfo_d,relating to how good or bad something is,,,,,,,,,,,,,,,,,,,
mfp9Jb5pfEY_w,concept,mfp9Jb5pfEY_d,an abstract idea.,,,,,,,,,,,,,,,,,,,
wNZIAo8zLP0_w,attach,wNZIAo8zLP0_d,"to fasten, join, or connect something",,,,,,,,,,,,,,,,,,,
CLSIZPQeWJU_w,meter,CLSIZPQeWJU_d,a device that measures the amount of something that is used,,,,,,,,,,,,,,,,,,,
_Tbcd3_o3-E_w,owing to,_Tbcd3_o3-E_d,Because of ,,,,,,,,,,,,,,,,,,,
s5ev9o9-Hj4_w,entertain,s5ev9o9-Hj4_d,to keep a group of people interested or enjoying themselves,,,,,,,,,,,,,,,,,,,
U-FDYYp3OfI_w,advertisement,U-FDYYp3OfI_d,"a picture, short film, song, etc. that tries to persuade people to buy a product or service, or a piece of text that tells people about a job, etc.",,,,,,,,,,,,,,,,,,,
tz0m5R2Tfeo_w,bouquet,tz0m5R2Tfeo_d,An attractively arranged bunch of flowers given as a present or to welcome someone.,,,,,,,,,,,,,,,,,,,
KQpXEZpNF1s_w,altogether,KQpXEZpNF1s_d,completely or in total,,,,,,,,,,,,,,,,,,,
yYAuTrPtnxc_w,concerned,yYAuTrPtnxc_d,Worried.,,,,,,,,,,,,,,,,,,,
X7W6YeT2JZk_w,sanctify,X7W6YeT2JZk_d,to make something or someone holy ,,,,,,,,,,,,,,,,,,,
mxJapRjh1BM_w,unbreakable,mxJapRjh1BM_d,impossible to break,,,,,,,,,,,,,,,,,,,
BPkY6fJerkM_w,mechanism,BPkY6fJerkM_d,"a part of a machine, or a set of parts that work together",,,,,,,,,,,,,,,,,,,
6_Lnzu1WFPI_w,accomplish,6_Lnzu1WFPI_d,to finish something successfully or to achieve something,,,,,,,,,,,,,,,,,,,
RY2eefQqXvs_w,zenith,RY2eefQqXvs_d,the point in the sky directly above you ,,,,,,,,,,,,,,,,,,,
CB5Qabozm6w_w,interaction,CB5Qabozm6w_d,an occasion when two or more people or things communicate with or react to each other.,,,,,,,,,,,,,,,,,,,
ON6mteoL6yg_w,electricity,ON6mteoL6yg_d,"a form of energy that can be produced in several ways and that provides power to devices that create light, heat, etc.",,,,,,,,,,,,,,,,,,,
Zfvba8MyFPY_w,maker,Zfvba8MyFPY_d,the people or company that make something,,,,,,,,,,,,,,,,,,,
FRLkJ9K3sVQ_w,impel,FRLkJ9K3sVQ_d,to force someone to do something,,,,,,,,,,,,,,,,,,,
Tm6YgG2d8Nk_w,acquisition,Tm6YgG2d8Nk_d,the process of getting something,,,,,,,,,,,,,,,,,,,
qrOofeX8eJ8_w,elude - 2,qrOofeX8eJ8_d,to not be caught by someone,,,,,,,,,,,,,,,,,,,
tjgCta6iTgs_w,court,tjgCta6iTgs_d,"a place where trials and other legal cases happen, or the people present in such a place, especially the officials and those deciding if someone is guilty",,,,,,,,,,,,,,,,,,,
1Kus_VFkXlk_w,persist,1Kus_VFkXlk_d,"If an unpleasant feeling or situation persists, it continues to exist",,,,,,,,,,,,,,,,,,,
BNF2q1Hysj8_w,advantage,BNF2q1Hysj8_d,a condition giving a greater chance of success,,,,,,,,,,,,,,,,,,,
I1dQ1sS8Lio_w,underdog - 2,I1dQ1sS8Lio_d,"the weaker of two competitors,  or anyone  not expected to win a competition",,,,,,,,,,,,,,,,,,,
2nJ6ahb45OU_w,buddy,2nJ6ahb45OU_d,a close friend,,,,,,,,,,,,,,,,,,,
dVLZa2PQEII_w,scowl,dVLZa2PQEII_d,to look at someone or something with a very annoyed expressionThe boy scowled at her and reluctantly followed her back into school.,,,,,,,,,,,,,,,,,,,
hQqPbzh4PVk_w,adversarial,hQqPbzh4PVk_d,involving people opposing or disagreeing with each other,,,,,,,,,,,,,,,,,,,
scJSFdl6vqk_w,quandary,scJSFdl6vqk_d,a state of not being able to decide what to do about a situation in which you are involved,,,,,,,,,,,,,,,,,,,
ucu7LxTJoBk_w,accurate,ucu7LxTJoBk_d,"correct, exact, and without any mistakes.",,,,,,,,,,,,,,,,,,,
lHnwkx0eTwM_w,queue,lHnwkx0eTwM_d,"A line of people, usually standing or in cars, waiting for something.",,,,,,,,,,,,,,,,,,,
OGHkRmbVr3Y_w,accent,OGHkRmbVr3Y_d,"the way in which people in a particular area, country, or social group pronounce words",,,,,,,,,,,,,,,,,,,
qItgIgZzXnc_w,adapt,qItgIgZzXnc_d,to change your ideas or behaviour to make them suitable for a new situation.,,,,,,,,,,,,,,,,,,,
afpdqLzBytI_w,deceptive,afpdqLzBytI_d,making you believe something that is not true.,,,,,,,,,,,,,,,,,,,
DBktOqTh9Uk_w,enthusiasm,DBktOqTh9Uk_d,a feeling of energetic interest in a particular subject or activity and an eagerness to be involved in it,,,,,,,,,,,,,,,,,,,
uS53DpO-l3k_w,cheer up,uS53DpO-l3k_d,"If someone cheers up, or something cheers someone up, they start to feel happier",,,,,,,,,,,,,,,,,,,
xGBTymkkD5w_w,tender,xGBTymkkD5w_d,"(of part of the body) painful, sore, or uncomfortable when touched.",,,,,,,,,,,,,,,,,,,
wNX5EJHUES0_w,effusive,wNX5EJHUES0_d,"expressing welcome, approval, or pleasure in a way that shows very strong feeling",,,,,,,,,,,,,,,,,,,
ZP09uzf6uF8_w,awareness,ZP09uzf6uF8_d,"knowledge that something exists, or understanding of a situation or subject at the present time based on information or experience.",,,,,,,,,,,,,,,,,,,
bRHRKa5R-bI_w,diplomacy,bRHRKa5R-bI_d,,,,,,,,,,,,,,,,,,,,
VnU7dyXgsAo_w,frustration,VnU7dyXgsAo_d,the feeling of being upset or annoyed as a result of being unable to change or achieve something.,,,,,,,,,,,,,,,,,,,
u4P-ICTxQdU_w,ravenous,u4P-ICTxQdU_d,extremely hungry,,,,,,,,,,,,,,,,,,,
5iIb7JC1mC8_w,quiver,5iIb7JC1mC8_d,"to shake slightly, often because of strong emotion",,,,,,,,,,,,,,,,,,,
YuEOgnEL5-M_w,compel,YuEOgnEL5-M_d,to force someone to do something,,,,,,,,,,,,,,,,,,,
Nejuqg9XCLE_w,rude,Nejuqg9XCLE_d,not polite; offensive or embarrassing,,,,,,,,,,,,,,,,,,,
UqCIjGRqdGE_w,policy,UqCIjGRqdGE_d,"a set of ideas or a plan of what to do in particular situations that has been agreed to officially by a group of people, a business organization, a government, or a political party",,,,,,,,,,,,,,,,,,,
iubciNlbhh8_w,secured,iubciNlbhh8_d,"secured loans, debts, etc. involve an agreement for the lender to take particular assets from the borrower if the money is not paid back",,,,,,,,,,,,,,,,,,,
ABZhHI6228g_w,elude - 1,ABZhHI6228g_d,"If something that you want eludes you, you do not succeed in achieving it",,,,,,,,,,,,,,,,,,,
oS9czmlqK6w_w,everywhere,oS9czmlqK6w_d,"to, at, or in all places or the whole of a place",,,,,,,,,,,,,,,,,,,
uc7UKq81JdM_w,advert,uc7UKq81JdM_d,an advertisement,,,,,,,,,,,,,,,,,,,
Si3y5f7woD0_w,effective,Si3y5f7woD0_d,successful or achieving the results that you want.,,,,,,,,,,,,,,,,,,,
SXy03IAmr_A_w,accompany,SXy03IAmr_A_d,go somewhere with (someone) as a companion or escort.,,,,,,,,,,,,,,,,,,,
peySczycRYU_w,avarice,peySczycRYU_d,an extremely strong wish to get or keep money or possessions,,,,,,,,,,,,,,,,,,,
c-PT1cEougQ_w,adopt,c-PT1cEougQ_d,to legally take another person's child into your own family and take care of him or her as your own child.,,,,,,,,,,,,,,,,,,,
rzrll2_y7Xk_w,procrastinate,rzrll2_y7Xk_d,to delay doing something,,,,,,,,,,,,,,,,,,,
pTIJ-8yubFs_w,consultant,pTIJ-8yubFs_d,someone who advises people on a particular subject,,,,,,,,,,,,,,,,,,,
Bvu2bvf0Nhw_w,exceed,Bvu2bvf0Nhw_d,"to be greater than a number or amount, or to go past an allowed limit",,,,,,,,,,,,,,,,,,,
8Ui2qv0zkjA_w,stupid,8Ui2qv0zkjA_d,,,,,,,,,,,,,,,,,,,,
y_zV7Qkiyeo_w,examination,y_zV7Qkiyeo_d,the act of looking at or considering something carefully in order to discover something,,,,,,,,,,,,,,,,,,,
gBFxE8tJu8Q_w,mixture,gBFxE8tJu8Q_d,"a substance made from a combination of different substances, or any combination of different things",,,,,,,,,,,,,,,,,,,
DJdvsTI55Rg_w,consensus,DJdvsTI55Rg_d,a general agreement.,,,,,,,,,,,,,,,,,,,
WabgM-SmPzU_w,candidate,WabgM-SmPzU_d,a person who is competing to get a job or elected position,,,,,,,,,,,,,,,,,,,
6VINDvdwb_E_w,sustain,6VINDvdwb_E_d,to cause or allow something to continue for a period of time.,,,,,,,,,,,,,,,,,,,
xsnL27VAyOI_w,decorate,xsnL27VAyOI_d,make (something) look more attractive by adding extra items or images to it,,,,,,,,,,,,,,,,,,,
7tK-aXT9AM8_w,menu,7tK-aXT9AM8_d,a list of the food that you can eat in a restaurant,,,,,,,,,,,,,,,,,,,
jIpDX-xNPI4_w,zygote,jIpDX-xNPI4_d,the cell that is formed when a female reproductive cell and a male reproductive cell join ,,,,,,,,,,,,,,,,,,,
0pth6-vW81w_w,decisive,0pth6-vW81w_d,"able to make decisions quickly and confidently, or showing this quality.",,,,,,,,,,,,,,,,,,,
MGRLpUCM6No_w,shrivel,MGRLpUCM6No_d,"to become dry, smaller, and covered with lines as if by crushing or folding, or to make something do this.",,,,,,,,,,,,,,,,,,,
5xPTHpYQfeE_w,analysis,5xPTHpYQfeE_d,"the act of studying or examining something in detail, in order to discover more about it",,,,,,,,,,,,,,,,,,,
Px3YHp0J81U_w,edgy,Px3YHp0J81U_d,nervous; not calm,,,,,,,,,,,,,,,,,,,
vG5O-N2If4U_w,nevertheless,vG5O-N2If4U_d,despite what has just been said or referred to ,,,,,,,,,,,,,,,,,,,
X2H5laZ8PFo_w,rancour,X2H5laZ8PFo_d,a feeling of hate and continuing anger about something in the past,,,,,,,,,,,,,,,,,,,
NaADM_m9FSI_w,rectify,NaADM_m9FSI_d,to correct something or make something right,,,,,,,,,,,,,,,,,,,
qpxHigzHK9U_w,opportunity,qpxHigzHK9U_d,"an occasion or situation that makes it possible to do something that you want to do or have to do, or the possibility of doing something.",,,,,,,,,,,,,,,,,,,
W4qJmEBZr8c_w,earring,W4qJmEBZr8c_d,"a piece of jewellery, usually one of a pair, worn in a hole in the ear or fastened to the ear by a clip",,,,,,,,,,,,,,,,,,,
MDCsV2GLVis_w,stance,MDCsV2GLVis_d,"a way of thinking about something, especially expressed in a publicly stated opinion",,,,,,,,,,,,,,,,,,,
SEKRNyZ9Sgg_w,attractive,SEKRNyZ9Sgg_d,causing interest or pleasure,,,,,,,,,,,,,,,,,,,
rD5qE7Z3QaM_w,look out,rD5qE7Z3QaM_d,to watch what is happening and be careful.,,,,,,,,,,,,,,,,,,,
Fpg5dgFQofk_w,each,Fpg5dgFQofk_d,"every thing, person, etc. in a group of two or more, considered separately",,,,,,,,,,,,,,,,,,,
KH9awHgg9Uw_w,cram,KH9awHgg9Uw_d,to try to learn a lot very quickly before an exam,,,,,,,,,,,,,,,,,,,
SUPU7QRMZw8_w,advice,SUPU7QRMZw8_d,an opinion that someone offers you about what you should do or how you should act in a particular situation,,,,,,,,,,,,,,,,,,,
PX8yyGWh_7k_w,misfortune,PX8yyGWh_7k_d,"bad luck, or an unlucky event",,,,,,,,,,,,,,,,,,,
GbSl8yhZDv8_w,date,GbSl8yhZDv8_d,"a social meeting planned before it happens, especially one between two people who have or might have a romantic relationship",,,,,,,,,,,,,,,,,,,
J1xPH6Rugio_w,avail of,J1xPH6Rugio_d,to make use of something,,,,,,,,,,,,,,,,,,,
l4B2uplSuiE_w,replenish,l4B2uplSuiE_d,to fill something up again,,,,,,,,,,,,,,,,,,,
ojWQ4ZOSKk4_w,foul,ojWQ4ZOSKk4_d,extremely unpleasant.,,,,,,,,,,,,,,,,,,,
TivYFPrGSNg_w,radical,TivYFPrGSNg_d,believing or expressing the belief that there should be great or extreme social or political change,,,,,,,,,,,,,,,,,,,
mutZAFDJmKI_w,see off,mutZAFDJmKI_d,to go to the place that someone is leaving from in order to say goodbye to them,,,,,,,,,,,,,,,,,,,
H6a1QmSuToM_w,ridiculous,H6a1QmSuToM_d,stupid or unreasonable and deserving to be laughed at,,,,,,,,,,,,,,,,,,,
LlT0Hf_hRIM_w,toil,LlT0Hf_hRIM_d,to work hard.,,,,,,,,,,,,,,,,,,,
IBOW-mmD4hg_w,terse,IBOW-mmD4hg_d,"using few words, sometimes in a way that seems rude or unfriendly",,,,,,,,,,,,,,,,,,,
oSdM1ORpL8M_w,thrilled,oSdM1ORpL8M_d,extremely happy about something,,,,,,,,,,,,,,,,,,,
Zpw0RLxTNoA_w,addict,Zpw0RLxTNoA_d,"a person who cannot stop doing or using something, especially something harmful.",,,,,,,,,,,,,,,,,,,
vR2vuVANEQk_w,edible,vR2vuVANEQk_d,suitable or safe for eating,,,,,,,,,,,,,,,,,,,
skPSZU0gZJE_w,exact,skPSZU0gZJE_d,"in great detail, or complete, correct, or true in every way",,,,,,,,,,,,,,,,,,,
8LoVo8y_Oic_w,inconvenience,8LoVo8y_Oic_d,"a state or an example of problems or trouble, often causing a delay or loss of comfort",,,,,,,,,,,,,,,,,,,
MFZJTpIvwio_w,nearby,MFZJTpIvwio_d,not far away ,,,,,,,,,,,,,,,,,,,
eSuhRYLOqPw_w,native ,eSuhRYLOqPw_d,relating to or someone's country or place of birth or someone who was born in a particular country or place ,,,,,,,,,,,,,,,,,,,
pBU_tMBIM9E_w,thwart,pBU_tMBIM9E_d,to stop something from happening or someone from doing something,,,,,,,,,,,,,,,,,,,
861X7yZmXwU_w,berate,861X7yZmXwU_d,to criticize or speak in an angry manner to someone,,,,,,,,,,,,,,,,,,,
TheDJtPZdzQ_w,refuse,TheDJtPZdzQ_d,to say that you will not do or accept something,,,,,,,,,,,,,,,,,,,
YHo9rHrUGP8_w,vibes,YHo9rHrUGP8_d,the feeling you get from being in a particular place or situation or from being with a particular person,,,,,,,,,,,,,,,,,,,
GrKIA99UGMI_w,immature,GrKIA99UGMI_d,not behaving in a way that is as calm and wise as people expect from someone of your age,,,,,,,,,,,,,,,,,,,
ptj3ND19s68_w,dump,ptj3ND19s68_d,to put down or drop something in a careless way,,,,,,,,,,,,,,,,,,,
mvsesnKooAA_w,estrangement,mvsesnKooAA_d,"a period when you are estranged from someone (= no longer friendly with them), or the fact of no longer being friendly",,,,,,,,,,,,,,,,,,,
sOAahE7G7is_w,accidentally,sOAahE7G7is_d,by chance or by mistake.,,,,,,,,,,,,,,,,,,,
rJvU_NOuwRA_w,cafe,rJvU_NOuwRA_d,a restaurant where simple and usually quite cheap meals are served,,,,,,,,,,,,,,,,,,,
2am65aHTIRA_w,competent,2am65aHTIRA_d,able to do something well.,,,,,,,,,,,,,,,,,,,
HtoVMp9gYOA_w,superior,HtoVMp9gYOA_d,higher in rank or social position than others,,,,,,,,,,,,,,,,,,,
VaRDpQOuvJM_w,avid,VaRDpQOuvJM_d,extremely eager or interested,,,,,,,,,,,,,,,,,,,
5ncS0vBocO0_w,explorer,5ncS0vBocO0_d,someone who travels to places where no one has ever been in order to find out what is there,,,,,,,,,,,,,,,,,,,
BG__MHnFZgE_w,earful,BG__MHnFZgE_d,1an outpouring of news or gossip,,,,,,,,,,,,,,,,,,,
wrKYlMGgRRQ_w,congenial,wrKYlMGgRRQ_d,friendly and pleasant,,,,,,,,,,,,,,,,,,,
n9TDPKexXzw_w,equip,n9TDPKexXzw_d,to provide a person or a place with objects that are necessary for a particular purpose,,,,,,,,,,,,,,,,,,,
kxz4AA9lNmY_w,spoilsport,kxz4AA9lNmY_d,a person who stops other people from enjoying themselves,,,,,,,,,,,,,,,,,,,
QnhCavVEYCI_w,choice,QnhCavVEYCI_d,an act of choosing between two or more possibilities.  ,,,,,,,,,,,,,,,,,,,
tkEw7dEAKBM_w,modest,tkEw7dEAKBM_d,"not large in size or amount, or not expensive",,,,,,,,,,,,,,,,,,,
rahU3wO6czo_w,intend,rahU3wO6czo_d,to have as a plan or purpose.,,,,,,,,,,,,,,,,,,,
SnJUsE4wpr0_w,ellipsis,SnJUsE4wpr0_d,a situation in which words are left out of a sentence but the sentence can still be understood,,,,,,,,,,,,,,,,,,,
uKIi5p4ozh8_w,slash,uKIi5p4ozh8_d,"to cut with a sharp blade using a quick, strong movement",,,,,,,,,,,,,,,,,,,
xPfNGGJqSaA_w,reconcile,xPfNGGJqSaA_d,to find a way in which two situations or beliefs that are opposed to each other can agree and exist together,,,,,,,,,,,,,,,,,,,
7PcZoqPll0k_w,majority,7PcZoqPll0k_d,the larger number or part of something,,,,,,,,,,,,,,,,,,,
vjK0h7XGewE_w,immediate,vjK0h7XGewE_d,happening or done without delay or very soon after something else,,,,,,,,,,,,,,,,,,,
eie6yTNbN4k_w,burden,eie6yTNbN4k_d,a duty or responsibility that is hard to bear,,,,,,,,,,,,,,,,,,,
WAzBIGcdzSY_w,startle,WAzBIGcdzSY_d,to do something unexpected that surprises and sometimes worries a person or animal,,,,,,,,,,,,,,,,,,,
qzBaNu4EDrQ_w,mysterious,qzBaNu4EDrQ_d,"strange, not known, or not understood",,,,,,,,,,,,,,,,,,,
BaSt1HrxXq0_w,keep out,BaSt1HrxXq0_d,to stop or prevent (someone or something) from entering a place.,,,,,,,,,,,,,,,,,,,
YAw1Dsv2_Jo_w,dereliction,YAw1Dsv2_Jo_d,failure to do what you should do,,,,,,,,,,,,,,,,,,,
IsJNIZuIWrk_w,depict,IsJNIZuIWrk_d,to represent or show something in a picture or story,,,,,,,,,,,,,,,,,,,
zpkJNsXgyCk_w,betray,zpkJNsXgyCk_d,"If you betray someone who loves or trusts you, your actions hurt and disappoint them.",,,,,,,,,,,,,,,,,,,
4uVjzBqNXkE_w,furtively,4uVjzBqNXkE_d,secretly and often dishonestly,,,,,,,,,,,,,,,,,,,
T0waubuK70M_w,ravishing,T0waubuK70M_d,very beautiful,,,,,,,,,,,,,,,,,,,
xnrRwCGEhDY_w,via - 2,xnrRwCGEhDY_d,"using a particular machine, system, or person to send or receive something ",,,,,,,,,,,,,,,,,,,
ypGaWed2-4o_w,tumid,ypGaWed2-4o_d,"(of a part of the body) swollen, and larger in size than normal",,,,,,,,,,,,,,,,,,,
CKP94wfySWw_w,meddle,CKP94wfySWw_d,"to try to change or have an influence on things that are not your responsibility, especially by criticizing in a damaging or annoying way",,,,,,,,,,,,,,,,,,,
tcunPwYlTuU_w,eager,tcunPwYlTuU_d,"wanting very much to do or have something, especially something interesting or enjoyable",,,,,,,,,,,,,,,,,,,
zAzM7hFn3kE_w,settle,zAzM7hFn3kE_d,"to pay, especially money that you owe.",,,,,,,,,,,,,,,,,,,
cVOJIH7mEas_w,excess,cVOJIH7mEas_d,"an amount that is more than acceptable, expected, or reasonable",,,,,,,,,,,,,,,,,,,
pkYmIpVgB2A_w,notion,pkYmIpVgB2A_d,a belief or idea ,,,,,,,,,,,,,,,,,,,
BYDhyNP5fK8_w,fatuous,BYDhyNP5fK8_d,"stupid, not correct, or not carefully thought about",,,,,,,,,,,,,,,,,,,
rKV7gMudw_o_w,foretell,rKV7gMudw_o_d,to say what is going to happen in the future,,,,,,,,,,,,,,,,,,,
1y33mnpgqyE_w,include,1y33mnpgqyE_d,"to add as part of something else; put in as part of a set, group, or category",,,,,,,,,,,,,,,,,,,
z_H7F89q_Kw_w,ravage,z_H7F89q_Kw_d,to cause great damage to something,,,,,,,,,,,,,,,,,,,
vA8-Sv3474g_w,admire,vA8-Sv3474g_d,to respect and approve of someone or their behaviour,,,,,,,,,,,,,,,,,,,
YnvT2TZt17c_w,excuse,YnvT2TZt17c_d,a false reason that you give to explain why you do something,,,,,,,,,,,,,,,,,,,
zvUzEhxfpnw_w,myth,zvUzEhxfpnw_d,a commonly believed but false idea,,,,,,,,,,,,,,,,,,,
HbeLuowRM5Q_w,biography,HbeLuowRM5Q_d,A story of someone's life written by another person ,,,,,,,,,,,,,,,,,,,
FRs6fgJZjt4_w,distinguish,FRs6fgJZjt4_d,"to notice or understand the difference between two things, or to make one person or thing seem different from another",,,,,,,,,,,,,,,,,,,
FDJaEKvAQdc_w,message,FDJaEKvAQdc_d,a short piece of information that you give to a person when you cannot speak to them directly,,,,,,,,,,,,,,,,,,,
zY6iSs8xJKE_w,zone,zY6iSs8xJKE_d,"to give a special purpose to a particular area, such as an area in a town",,,,,,,,,,,,,,,,,,,
2ldqLNKUekA_w,character,2ldqLNKUekA_d,the particular combination of qualities in a person or place that makes them different from others,,,,,,,,,,,,,,,,,,,
G2uGKFEY6ZQ_w,overt,G2uGKFEY6ZQ_d,done or shown publicly or in an obvious way and not secret,,,,,,,,,,,,,,,,,,,
Efx9Z-mQGHw_w,afford,Efx9Z-mQGHw_d,to be able to buy or do something because you have enough money or time,,,,,,,,,,,,,,,,,,,
RIwfym39VVM_w,inhabitant,RIwfym39VVM_d,a person or animal that lives in a particular place,,,,,,,,,,,,,,,,,,,
CTRMyQvvHgk_w,disturb,CTRMyQvvHgk_d,to interrupt what someone is doing,,,,,,,,,,,,,,,,,,,
y6GXb6WSuCU_w,tolerant,y6GXb6WSuCU_d,"willing to accept behaviour and beliefs that are different from your own, although you might not agree with or approve of them",,,,,,,,,,,,,,,,,,,
g0q93htmqBk_w,extended,g0q93htmqBk_d,long or longer than usual,,,,,,,,,,,,,,,,,,,
0YoN6sdJ84Y_w,pretend,0YoN6sdJ84Y_d,"to behave as if something is true when you know that it is not, especially in order to deceive people or as a game",,,,,,,,,,,,,,,,,,,
IGjd6dWiXvE_w,manager,IGjd6dWiXvE_d,a person responsible for controlling or administering an   organization or group of staff.,,,,,,,,,,,,,,,,,,,
63BZd84xk-c_w,abroad,63BZd84xk-c_d,in or to a foreign country or countries.,,,,,,,,,,,,,,,,,,,
s2fBIGdfsxQ_w,blossom,s2fBIGdfsxQ_d,"to change, grow, and develop full ",,,,,,,,,,,,,,,,,,,
zuG7NoktUUk_w,intrigue,zuG7NoktUUk_d,"to interest someone a lot, especially by being, strange and unusual, or mysterious. ",,,,,,,,,,,,,,,,,,,
fL4hxu29Mr4_w,wail,fL4hxu29Mr4_d,"to make a long, high cry, usually because of pain or sadness",,,,,,,,,,,,,,,,,,,
8pwnTDtKBE0_w,towards ,8pwnTDtKBE0_d,She stood up and walked towards him.,,,,,,,,,,,,,,,,,,,
U-c1RT4IfL8_w,ashamed,U-c1RT4IfL8_d,feeling guilty or embarrassed about something you have done or about a quality in your character,,,,,,,,,,,,,,,,,,,
0FUZJWoZ7Ho_w,trivial,0FUZJWoZ7Ho_d,having little value or importance,,,,,,,,,,,,,,,,,,,
vqIpNYvChdM_w,unreserved - 2,vqIpNYvChdM_d,"An unreserved seat, ticket, etc. is not being kept for a particular person to use",,,,,,,,,,,,,,,,,,,
WerZ1Hp6IDA_w,call off,WerZ1Hp6IDA_d,Cancel  ,,,,,,,,,,,,,,,,,,,
I96CIiP3WZc_w,nuisance,I96CIiP3WZc_d,something or someone that annoys you or causes trouble for you.,,,,,,,,,,,,,,,,,,,
gFlhA6DWhFA_w,duly,gFlhA6DWhFA_d,in the correct way or at the correct time; as expected,,,,,,,,,,,,,,,,,,,
wgBGl8jJQZQ_w,observation,wgBGl8jJQZQ_d,the act of observing something or someone.,,,,,,,,,,,,,,,,,,,
o5hP6kJSiyY_w,horde,o5hP6kJSiyY_d,a large group of people,,,,,,,,,,,,,,,,,,,
OuZjUm2yUB0_w,anonymous,OuZjUm2yUB0_d,"(a person) not identified by name, of unknown name ",,,,,,,,,,,,,,,,,,,
5dQrlNM9QVs_w,amphibious,5dQrlNM9QVs_d,Able to live on land and in water.,,,,,,,,,,,,,,,,,,,
1BN1txMJPpo_w,moan,1BN1txMJPpo_d,"to make a complaint in an unhappy voice, usually about something that does not seem important to other people",,,,,,,,,,,,,,,,,,,
0gXoXdqFarg_w,compensation,0gXoXdqFarg_d,money that is paid to someone in exchange for something that has been lost or damaged or for some problem,,,,,,,,,,,,,,,,,,,
BGG5x7Qr10A_w,firmly,BGG5x7Qr10A_d,in a way that will not become loose,,,,,,,,,,,,,,,,,,,
oDXfCEi7hPs_w,mood,oDXfCEi7hPs_d,the way you feel at a particular time,,,,,,,,,,,,,,,,,,,
pQfkhE7-uoA_w,accuse,pQfkhE7-uoA_d,"to say that someone has done something morally wrong, illegal, or unkind",,,,,,,,,,,,,,,,,,,
vW6TvgmaRCQ_w,acknowledge,vW6TvgmaRCQ_d,"to accept, admit, or recognize something, or the truth or existence of something.",,,,,,,,,,,,,,,,,,,
QTJhjBJ1YFA_w,reception,QTJhjBJ1YFA_d,a formal party at which important people are welcomed,,,,,,,,,,,,,,,,,,,
urUO3XFOGFQ_w,enable,urUO3XFOGFQ_d,"to make someone able to do something, or to make something possible.",,,,,,,,,,,,,,,,,,,
Y30FYoIqv30_w,frolic,Y30FYoIqv30_d,to play and behave in a happy way,,,,,,,,,,,,,,,,,,,
GuQ6ZLzpMXk_w,elevator,GuQ6ZLzpMXk_d,a platform or compartment housed in a shaft for raising and lowering people or things to different levels; a lift. ,,,,,,,,,,,,,,,,,,,
PsaESG5ARyc_w,surpass,PsaESG5ARyc_d,to do or be better than,,,,,,,,,,,,,,,,,,,
F0kiWvgS_Mo_w,employ,F0kiWvgS_Mo_d,to have someone work or do a job for you and pay them for it,,,,,,,,,,,,,,,,,,,
m1cbIXJlyQo_w,narrative,m1cbIXJlyQo_d,a story or a description of a series of events ,,,,,,,,,,,,,,,,,,,
lth5T4A_6Bw_w,liberty,lth5T4A_6Bw_d,the freedom to live as you wish or go where you want.,,,,,,,,,,,,,,,,,,,
HaqqVsp2BuE_w,actually,HaqqVsp2BuE_d,in fact or really,,,,,,,,,,,,,,,,,,,
p_FimVLJQOk_w,quiescent,p_FimVLJQOk_d,temporarily quiet and not active,,,,,,,,,,,,,,,,,,,
